Year,EventBaseCode,Count
2018,134,601
2020,125,3041
2019,070,41785
2015,163,10617
2017,161,10704
2017,138,25503
2017,140,1784
2018,075,8911
2018,053,1397
2018,025,7662
2018,151,583
2020,104,1161
2020,166,665
2016,080,48683
2016,152,830
2016,028,723
2017,035,10943
2018,044,7740
2018,170,1138
2015,134,453
2015,121,200
2019,202,810
2020,112,73660
2020,011,4114
2019,026,13123
2019,182,11294
2020,---,5
2016,172,32165
2016,130,49404
2018,160,22158
2018,031,22415
2018,166,996
2015,129,4199
2015,106,244
2015,056,899
2018,136,36
2019,154,8181
2019,175,632
2016,031,18951
2016,054,3461
2016,039,563
2017,133,778
2017,028,995
2018,062,7647
2015,082,365
2015,201,35
2020,162,1436
2020,143,699
2019,080,40315
2019,145,1464
2016,150,6188
2015,030,102578
2016,033,13444
2017,032,3952
2017,016,12844
2017,171,6611
2017,038,443
2018,017,19034
2018,150,5308
2019,094,155
2019,142,99
2016,184,3
2019,031,17840
2015,071,36607
2017,154,9504
2017,203,759
2017,094,84
2017,107,94
2018,120,74203
2018,046,195534
2018,033,11348
2015,140,1023
2015,152,474
2020,124,3054
2019,090,64295
2019,032,2779
2019,023,9321
2020,133,494
2020,196,54
2016,013,123538
2017,036,230268
2017,070,51140
2017,050,74245
2017,015,17738
2017,022,5820
2017,086,2824
2015,018,5197
2015,053,961
2016,165,5
2020,101,1412
2020,064,617
2019,037,2749
2016,110,76504
2016,056,1209
2016,019,1057
2017,128,5589
2018,034,82
2015,115,1741
2015,107,42
2020,033,7361
2020,161,7042
2019,174,10976
2019,082,402
2019,016,10044
2019,116,11
2019,140,1483
2016,083,7288
2015,100,33052
2017,174,15027
2017,087,32686
2017,073,12182
2017,181,5827
2017,122,1391
2018,171,6030
2020,126,6
2020,031,10445
2020,055,1836
2020,152,358
2020,142,161
2019,050,64341
2015,084,42795
2017,101,2592
2017,091,736
2017,139,853
2018,016,10637
2018,141,22619
2018,129,3131
2018,019,618
2015,092,275
2019,107,28
2020,090,40202
2019,060,44536
2016,122,1532
2015,046,164290
2016,151,2058
2017,190,173029
2017,056,614
2015,022,4088
2018,013,107031
2018,083,5384
2015,063,1607
2015,113,1482
2020,075,4810
2020,022,2369
2020,137,55
2020,139,662
2019,171,5163
2016,018,8322
2016,051,281706
2015,042,390620
2015,172,23857
2016,053,1736
2015,171,5148
2017,164,5693
2018,130,56365
2018,165,2
2019,087,45009
2019,186,5271
2019,183,1567
2016,164,6656
2016,021,6494
2015,164,3669
2017,037,2566
2017,125,8693
2018,110,65019
2019,084,45460
2020,160,24180
2019,012,54680
2016,125,7377
2015,040,260304
2015,112,73994
2015,150,4298
2015,173,100128
