Year,EventBaseCode,Count
2017,093,88
2016,035,4225
2019,056,285
2020,026,3065
2020,201,27
2016,093,90
2015,053,588
2018,071,28883
2018,083,5972
2019,164,1036
2018,---,2
2019,193,38549
2020,106,12
2020,142,32
2019,070,28307
2020,116,11
2017,173,82112
2015,192,4910
2015,129,6335
2018,036,65460
2018,042,138101
2018,152,224
2018,139,639
2018,203,59
2017,136,26
2018,126,2
2019,043,116799
2016,110,55130
2015,042,125711
2018,190,64560
2018,028,322
2019,019,235
2019,182,7511
2017,101,1395
2016,130,19366
2016,127,538
2015,031,6233
2016,107,9
2018,120,32694
2018,064,1111
2018,053,754
2015,085,313
2015,056,428
2015,183,372
2015,037,329
2019,160,7594
2017,051,119864
2017,111,36286
2017,017,8698
2017,087,7052
2016,129,6366
2016,026,5333
2015,010,125312
2015,013,57580
2015,128,2155
2018,111,29555
2015,052,1903
2020,061,2339
2020,174,1762
2019,052,1738
2017,022,2317
2017,143,520
2016,013,80214
2016,021,4569
2016,140,1256
2015,115,4517
2015,090,38673
2018,164,1572
2016,203,26
2015,141,6551
2016,---,8
2015,201,3
2019,017,6694
2017,062,1655
2016,163,1599
2016,074,247
2016,131,1408
2018,171,4097
2018,185,112
2018,162,396
2019,142,75
2019,180,12066
2017,061,3916
2017,115,5871
2017,086,375
2016,014,30848
2016,034,154
2015,130,12065
2015,062,1643
2018,172,17567
2018,021,4022
2018,183,393
2015,195,705
2015,154,914
2019,145,303
2020,023,3310
2019,046,50656
2020,139,370
2019,015,10063
2019,129,3235
2017,120,36690
2017,064,1302
2017,104,666
2016,120,43268
2018,175,337
2015,181,1689
2015,105,647
2015,143,393
2015,034,139
2020,160,8439
2019,110,26819
2020,039,114
2017,083,6476
2016,193,65625
2017,072,2830
2015,040,97655
2020,193,31127
2020,110,28537
2020,091,434
2017,018,2760
2017,160,10680
2016,036,90591
2015,043,117210
2015,017,7806
2018,130,14685
2015,164,946
2020,100,20074
2019,031,6398
2017,110,37000
2017,016,7496
2016,043,163353
2015,015,10333
2015,014,15689
2018,173,82769
2018,023,4696
2018,170,415
2017,102,20
2015,175,259
2019,191,462
2019,105,570
2019,107,3
2020,012,22632
2020,087,4631
2020,113,452
2019,111,26390
2017,161,2045
2016,081,11475
2017,037,539
2016,072,2373
2016,153,254
2016,136,26
2018,072,2532
2018,138,4008
2018,094,47
2015,025,2566
2019,090,42150
2020,163,957
2020,064,497
2019,171,2679
2019,124,3792
2019,174,1827
2017,030,25651
2016,020,146142
2015,057,10647
2017,092,54
2018,186,2845
2018,153,275
2020,112,33023
2019,042,124597
2017,127,337
2017,014,18509
2015,030,22721
2018,017,9192
2018,104,579
2018,034,179
2018,082,361
2017,196,5
2015,103,24
2019,050,9030
2019,131,1254
2017,174,2700
2017,133,622
2016,011,5860
2015,018,2587
2019,072,1797
2019,138,3021
2019,086,215
2016,132,9
2019,013,55609
2020,018,2242
2020,107,2
2017,050,12061
2016,092,55
2018,091,666
2018,113,535
2019,154,1061
2019,134,205
2015,136,9
2020,131,942
2019,081,8020
2017,130,16999
2016,033,6181
2016,082,798
2015,194,361
2019,136,9
2019,045,1745
2016,015,13296
2017,081,9120
2016,190,88688
2016,172,20767
2018,112,50930
2018,154,1326
2018,093,69
2018,196,2
2015,039,123
2019,037,361
2019,190,55629
2017,025,2859
2016,166,583
2015,100,16060
2018,143,489
2016,116,28
2015,131,1428
2015,027,413
2015,074,183
2015,121,109
2020,073,5836
2020,104,501
2020,092,64
2019,061,3412
2017,190,67306
2017,090,46612
2016,010,175729
2016,012,33320
2016,174,2474
2018,160,8210
2018,121,201
2018,027,211
2019,102,19
2019,---,3
2020,180,9083
2019,071,27120
2020,122,276
2019,161,1400
2019,133,240
2017,129,4711
2017,021,4879
2017,091,702
2016,173,94222
2015,111,26356
2015,185,82
2019,039,132
2019,122,303
2016,196,11
2016,135,1
2020,111,25346
2019,080,13150
2017,152,281
2016,040,141610
2016,160,9826
2016,185,169
2019,018,2127
2020,075,599
2017,020,127395
2016,115,6677
2016,175,979
2015,140,598
2019,054,270
2020,010,111511
2020,130,14000
2017,010,153346
2017,035,3857
2016,171,4708
2015,083,4803
2018,016,6925
2015,063,129
2015,166,226
2020,137,6
2020,161,1541
2020,074,208
2020,034,68
2016,030,31504
2016,052,2579
2016,145,695
2018,051,114058
2018,080,16537
2018,140,994
2015,086,343
2019,053,719
