,Actor2CountryCode,MonthYear,Count
502,YEM,201705,125
503,GHA,201708,9
504,NZL,201708,11
505,DOM,201706,3
506,ZMB,201710,14
507,VAT,201710,23
508,MCO,201801,12
509,ETH,201705,16
510,NPL,201701,3
511,MEA,201609,5
512,AIA,201609,5
513,GEO,201609,6
514,SHN,201802,3
515,SOM,201607,15
516,UKR,201507,11019
517,KEN,201606,25
518,CHN,201503,2860
519,RUS,201503,18801
520,HUN,201504,340
521,EGY,201505,895
522,MYS,201510,554
523,GHA,201507,35
524,RWA,201509,3
525,ZAF,201505,59
526,BRN,201605,68
527,MDA,201507,226
528,GEO,201505,3
529,TUN,201603,196
530,SEA,201512,46
531,MAR,201605,92
532,CAF,201604,2
533,NMR,201510,35
534,JOR,201509,151
535,ISL,201603,15
536,GEO,201512,21
537,ALB,201605,24
538,BLZ,201508,2
539,GUY,201509,14
540,SAS,201604,3
541,GTM,201511,4
542,CUB,201808,92
543,CYP,201808,94
544,LBR,201509,2
545,ETH,201601,5
546,CMR,201508,2
547,TJK,201907,55
548,LBN,201901,128
549,ALB,201811,52
550,LKA,201811,26
551,CYM,201604,1
552,FRA,201807,1592
553,IRL,201807,38
554,NMR,201806,14
555,PHL,201806,72
556,COL,201903,85
557,TCD,201806,8
558,PSE,201908,62
559,MYS,202003,155
560,MAR,201810,125
561,WST,201809,455
562,PRT,201809,33
563,SOM,201809,30
564,MEA,201908,1
565,FIN,201904,298
566,DEU,201904,1522
567,UZB,201904,135
568,AGO,201907,17
569,NLD,202011,58
570,COG,201808,3
571,MOZ,201910,157
572,VNM,202012,96
573,FJI,202012,5
574,SGP,201912,21
575,KHM,201905,1
576,AFR,202001,226
577,CHE,202010,111
578,PHL,202010,47
579,CPV,202001,5
580,ISL,201912,12
581,SLV,202001,4
582,BDI,201910,6
583,CAS,201812,18
584,SYC,201905,25
585,VCT,201912,4
586,USA,202003,3976
587,JAM,202004,1
588,YEM,202004,18
589,KEN,202003,2
590,KEN,202005,16
591,CUB,202006,104
592,ETH,202006,34
593,UGA,202006,18
594,CHN,201906,6193
595,GRC,201908,119
596,ISL,202009,12
597,HRV,202009,16
598,PGS,202009,7
599,VNM,202002,130
600,AZE,202001,379
601,MMR,202003,8
602,AUS,201805,435
603,USA,201801,13456
604,NMR,201801,18
605,DJI,201801,14
606,SRB,201801,280
607,LBN,201802,233
608,AUT,201803,534
609,CHL,201803,27
610,CZE,201803,517
611,MYS,201805,495
612,CHL,201701,145
613,SEN,201612,9
614,MNG,201703,91
615,MKD,201704,209
616,CYP,201612,208
617,GEO,201701,3
618,BRN,201712,9
619,ECU,201609,30
620,LTU,201610,436
621,KEN,201704,21
622,LBR,201702,7
623,SAU,201602,3299
624,SWE,201611,186
625,ETH,201611,55
626,PER,201608,29
627,ISL,201701,240
628,PER,201801,50
629,SWE,201705,206
630,SAS,201705,18
631,BEL,201603,938
632,UZB,201603,317
633,GEO,201710,4
634,BLZ,201608,6
635,VCT,201611,1
636,MEA,201709,3
637,MUS,201510,4
638,MHL,201612,3
639,ARM,201512,1237
640,UGA,201607,20
641,ISR,201507,466
642,SLV,201607,2
643,TZA,201707,4
644,,201504,58818
645,USA,201503,7182
646,AFR,201602,146
647,POL,201602,932
648,AGO,201603,19
649,MDA,201505,382
650,LVA,201511,176
651,SVK,201505,193
652,AFG,201503,344
653,PRT,201511,30
654,JPN,201503,396
655,QAT,201603,390
656,HRV,201504,26
657,NGA,201512,58
658,YEM,201509,205
659,NZL,201604,31
660,KWT,201512,51
661,SDN,201506,174
662,CMR,201507,8
663,NZL,201506,12
664,MDV,201507,50
665,FJI,201501,4
666,UGA,201506,3
667,NAM,201503,5
668,DOM,201512,4
669,CIV,201508,10
670,TZA,201508,5
671,MOZ,201509,1
672,SGP,201808,145
673,UZB,201808,106
674,SUR,201602,1
675,ETH,201812,42
676,PHL,201811,96
677,LBN,201811,151
678,MMR,201811,32
679,ERI,201603,2
680,ISR,201807,3215
681,MYS,201807,165
682,CZE,201807,124
683,ZWE,201902,248
684,MNG,201806,216
685,THA,201806,31
686,EGY,201903,258
687,ESP,201903,174
688,BHR,201907,15
689,TWN,201906,23
690,MDV,201902,41
691,CHE,201908,104
692,SWE,201812,119
693,AGO,201908,36
694,BDI,201902,12
695,ISL,201902,37
696,AND,201908,1
697,PAN,202003,3
698,WAF,201909,8
699,NGA,201909,81
700,BLR,201809,1130
