,MonthYear,Count,SumNumMentions,Actor2CountryCode
646,201603,1,2,DZA
647,201612,1,5,CHN
648,201909,4,18,BRA
649,202003,2,6,IDN
650,201909,13,34,DNK
651,201609,5,15,SWE
652,201603,1,10,PRK
653,201902,7,50,WST
654,201709,2,10,GRC
655,201804,2,10,NGA
656,201910,7,46,LUX
657,201902,2,10,MEX
658,201809,2,5,NLD
659,201910,3,30,CYP
660,201905,1,2,AFG
661,202006,6,32,HUN
662,202008,14,56,THA
663,201611,2,20,AUT
664,201611,12,54,SWE
665,201701,3,10,LBY
666,201801,20,86,GBR
667,201805,14,40,DNK
668,201805,7,32,WST
669,201804,30,173,GBR
670,201804,12,101,TUR
671,201704,1,10,IRN
672,201802,1,20,NOR
673,201503,2,10,MNG
674,201609,58,340,USA
675,201707,14,84,BGR
676,201808,3,20,BLR
677,201806,878,6187,
678,201706,37,85,CHN
679,201601,1,8,TUN
680,202002,27,164,EUR
681,201701,1,8,IND
682,201911,4,18,ITA
683,201601,2,20,SWE
684,201711,1,2,PAK
685,201612,2,10,DNK
686,201901,89,337,ITA
687,201904,12,60,ITA
688,201812,12,53,ITA
689,201909,1,4,COL
690,201504,3,10,MOZ
691,201804,2,2,KOR
692,201804,5,48,ITA
693,201903,3,18,MEX
694,201902,2,2,NMR
695,201909,1,3,MDV
696,201607,4,8,KOR
697,201508,2,8,UZB
698,201512,1,2,NMR
699,201612,2,10,PRT
700,201909,2,8,KAZ
701,201906,4,4,ISR
702,202002,2,4,BGR
703,201606,24,96,IDN
704,201710,4,14,PRK
705,201506,2,8,SYR
706,201607,1,4,NMR
707,201808,2,5,GUY
708,201802,2,20,SGP
709,202001,1,6,ZAF
710,202005,11,29,LTU
711,202007,11,37,LVA
712,202008,3,36,ESP
713,201908,236,963,USA
714,201701,45,297,EUR
715,201610,2,20,AUT
716,201709,3,10,SAU
717,201705,841,6178,
718,201711,8,25,IRL
719,201805,4,24,BRA
720,201709,1,10,MDV
721,201710,7,23,LVA
722,201710,36,125,USA
723,201710,6,20,CHN
724,201511,5,22,ITA
725,201803,11,25,LVA
726,201807,16,44,BEL
727,201802,11,23,AUT
728,201805,8,65,BGR
