,MonthYear,Count,SumNumMentions,Actor2CountryCode
2618,201711,2,8,NMR
2619,201808,7,16,ZAF
2620,201901,5,22,NIC
2621,201902,3,40,CAF
2622,201906,24,98,COL
2623,202010,6,48,ESP
2624,202001,3,10,MUS
2625,201611,10,40,GMB
2626,202012,7,43,DZA
2627,201801,7,16,GHA
2628,201607,11,35,KGZ
2629,202010,1,20,ALB
2630,202012,2,10,MLT
2631,201605,3,26,DZA
2632,201809,3,20,SGP
2633,201811,2,3,NPL
2634,201801,7,36,PRT
2635,201801,1,10,SGP
2636,201605,3,20,ARG
2637,201907,2,8,KEN
2638,202010,3,8,PER
2639,201912,1,5,SEA
2640,202003,9,32,LVA
2641,202009,3,10,ITA
2642,201711,32,120,MEX
2643,201801,4,8,DJI
2644,201711,95,355,ISR
2645,201711,15,55,POL
2646,201609,128,784,DZA
2647,201706,79,339,KAZ
2648,201503,419,1583,IRN
2649,201512,228,1381,EUR
2650,201612,190,781,DEU
2651,201612,23,168,BGR
2652,201612,167,663,EGY
2653,201712,62,318,LBY
2654,201701,1,1,VAT
2655,201601,53,177,KOR
2656,201512,457,1754,CHN
2657,201704,6287,36288,
2658,201501,8,14,FRA
2659,201503,27,98,MDA
2660,201604,56,279,AFG
2661,201806,327,1411,PRK
2662,201608,199,1093,BLR
2663,201506,86,374,AUT
2664,201511,13,48,URY
2665,201706,7,30,OMN
2666,201503,19,62,YEM
2667,201908,60,402,FIN
2668,201902,17,78,BRA
2669,201710,3,10,MDV
2670,201704,2,7,MYS
2671,201502,5,10,PRT
2672,201807,140,609,GRC
2673,201510,3,4,SVK
2674,201507,20,165,WST
2675,201610,29,320,LTU
2676,201810,34,148,IDN
2677,201810,49,191,PAK
2678,201810,22,93,AFR
2679,201603,14,41,LBN
2680,201611,33,164,HUN
2681,201605,56,243,KAZ
2682,201601,9,29,PHL
2683,201707,60,296,FIN
2684,201707,57,411,VEN
2685,201808,152,542,GBR
2686,201605,11,46,ESP
2687,201602,1,8,DJI
2688,201804,29,97,GRC
2689,201804,15,86,ARG
2690,201512,7,24,MUS
2691,201602,1,2,MCO
2692,201506,2,10,TKM
2693,202002,5,25,PRK
2694,201702,3,10,LKA
2695,201610,7,30,MNG
2696,201502,4,16,NIC
2697,201504,8,34,LBN
2698,201510,4,10,ISL
2699,201909,13,40,NOR
2700,201901,616,2568,TUR
2701,201801,11,28,SDN
2702,201903,6,24,EST
2703,201512,15,72,OMN
2704,201805,8,26,CYP
2705,201905,1,4,GEO
2706,201911,2,4,IRL
2707,201608,6,150,NIC
2708,201805,2,6,ISL
2709,201712,3,4,PRT
2710,201811,8,36,MKD
2711,201607,26,164,ESP
2712,201910,6,31,LBY
2713,201911,1,2,MDG
2714,201910,2,4,MUS
2715,201909,3,10,MLI
2716,201607,6,22,SSD
2717,201610,6,11,ZAF
2718,201810,1,10,DMA
2719,201606,1,10,DZA
2720,201811,4,20,CZE
2721,201608,2,2,UGA
2722,202010,4,20,MLI
2723,202005,30,105,AZE
2724,202005,6,16,TKM
2725,202007,8,28,CZE
2726,202007,6,29,KOR
2727,201908,309,1180,CHN
2728,202007,1,10,PER
2729,202009,32,195,KGZ
2730,202009,4,16,JOR
2731,201801,42,207,AZE
2732,201803,10,28,YEM
2733,201802,820,4066,SYR
2734,201706,350,1736,DEU
2735,201506,418,1934,IRN
2736,201504,31,157,WST
2737,201506,55,557,WST
2738,201712,79,318,AFG
2739,201703,11,27,NLD
2740,201703,39,187,POL
2741,201610,7,23,MYS
2742,201701,1512,5754,USA
2743,201509,26,105,KAZ
2744,201703,22,89,TJK
2745,201509,43,192,BRA
2746,201507,53,251,IRQ
2747,201806,12,84,COL
2748,201806,38,246,ESP
2749,201510,21,83,KOR
2750,201512,6,16,NGA
2751,201704,11,35,BRA
2752,201701,10,38,SWE
2753,201603,9,58,KGZ
2754,201501,28,134,
2755,201605,8,40,MMR
2756,201610,35,83,VNM
2757,201909,162,577,GBR
2758,201712,16,65,UZB
2759,201806,29,104,PAK
2760,201808,122,613,AUT
2761,201804,9,38,LTU
2762,201912,117,453,GBR
2763,201812,204,925,BLR
2764,201811,31,135,SEA
2765,201911,102,372,GBR
2766,201911,27,100,KGZ
2767,201910,730,3419,UKR
2768,201801,59,142,AUT
2769,201910,10,36,TKM
2770,202012,130,544,CHN
2771,201503,7,52,TWN
2772,201612,26,96,EST
