,MonthYear,Count,SumNumMentions,Actor2CountryCode
2273,201512,16,45,SAU
2274,201510,2,8,LVA
2275,201601,2,3,HTI
2276,201803,1,10,GRD
2277,201806,142,580,GRC
2278,201506,43,162,DNK
2279,201802,5,16,DZA
2280,201607,435,2520,EUR
2281,201512,8,30,SYC
2282,201605,9,68,ASA
2283,201704,1,10,COL
2284,201602,3,20,COL
2285,201503,3,10,ZAF
2286,201511,17,67,DNK
2287,201508,10,30,THA
2288,201911,16,73,AUT
2289,201707,1,5,MLT
2290,201508,2,10,MLT
2291,201511,3,16,PER
2292,201512,7,18,ARG
2293,201910,24,101,CHE
2294,201910,43,173,BEL
2295,201511,2,14,TGO
2296,201809,35,164,QAT
2297,201910,11,35,ARE
2298,201901,27,129,JPN
2299,201905,18,88,FIN
2300,201905,14,62,PSE
2301,201512,2,10,DZA
2302,202001,208,817,IRN
2303,201904,39,164,NLD
2304,201601,4,24,VAT
2305,201603,2,10,LTU
2306,202002,8,28,HUN
2307,201904,2,4,THA
2308,201902,400,1537,DEU
2309,202001,12,39,HUN
2310,201809,7,30,TUN
2311,201907,9,30,NAM
2312,201806,21,104,NOR
2313,201902,1,8,PAN
2314,201909,40,92,SDN
2315,202001,7,50,PRK
2316,201603,1,2,DOM
2317,201702,1,2,AGO
2318,201904,4,17,QAT
2319,201812,2,10,PER
2320,201809,2,14,YEM
2321,201601,3,10,KAZ
2322,201605,1,4,BRA
2323,201907,4,15,LBY
2324,201806,20,97,SWE
2325,202011,2,20,SVK
2326,201804,3,10,KWT
2327,201808,4,8,NZL
2328,201906,1,10,KAZ
2329,202010,1,4,SAU
2330,201903,6,26,KOR
2331,201911,7,22,BGR
2332,201811,1,10,GTM
2333,201902,3,10,BEN
2334,201605,2,20,TGO
2335,201907,2,4,ECU
2336,202002,1,2,ARE
2337,201912,7,17,NOR
2338,202004,1,6,PSE
2339,202005,45,195,GRC
2340,202008,7,26,NZL
2341,201511,23,164,AFR
2342,201706,38,162,AUT
2343,201609,82,321,ESP
2344,201609,3,7,GHA
2345,201707,107,419,ISR
2346,201707,4,26,LVA
2347,201701,5,12,ZAF
2348,201709,217,796,GBR
