,Actor2CountryCode,MonthYear,Count
118,DJI,201904,16
119,GBR,201612,9534
120,KNA,201612,47
121,MNG,201711,31
122,AZE,201511,426
123,BGR,201605,267
124,ZMB,201602,42
125,DOM,201512,220
126,AFR,201501,88
127,NAM,201701,30
128,SUR,201903,7
129,MAC,201507,5
130,VCT,201603,81
131,MMR,201902,180
132,PRT,201611,314
133,CYP,201611,265
134,SOM,201912,315
135,SLV,201912,187
136,LIE,202002,4
137,PER,201906,484
138,HRV,201511,208
139,SVK,201508,65
140,LCA,201602,78
141,TGO,201508,15
142,NRU,201602,11
143,DJI,201605,39
144,SEN,201712,83
145,PRY,201610,89
146,LUX,201610,68
147,AZE,201708,202
148,MWI,201705,45
149,BTN,201705,10
150,FSM,201811,15
151,CPV,201704,15
152,TGO,201702,27
153,ATG,201605,35
154,BWA,202011,11
155,LSO,202011,14
156,PAK,202010,380
157,ABW,201706,40
158,MEA,201901,11
159,LSO,201706,11
160,IND,201606,1687
161,MDA,201808,76
162,MEA,201612,15
163,DMA,201612,27
164,LAM,201612,1
165,KIR,201701,4
166,COM,201801,6
167,FSM,201507,10
168,GMB,201804,42
169,BFA,201502,13
170,BTN,201902,13
171,ERI,201902,8
172,CYM,201710,19
173,WAF,201611,23
174,BHR,201710,86
175,TGO,201902,9
176,BTN,201610,26
177,SYC,201511,15
178,BGD,201501,5
179,GEO,201510,20
180,ERI,201503,29
181,GNB,201603,2
182,MDG,201607,23
183,WLF,201806,2
184,SYC,201509,29
185,TKM,202002,17
186,SWZ,201606,6
187,SAM,201812,2
188,BDI,202003,12
189,SAM,201909,1
190,AIA,201506,6
191,ASA,201903,2
192,COM,201511,1
193,SMR,201905,7
194,AZE,202004,85
195,ATG,202003,10
196,TTO,202003,45
197,CRI,202006,84
198,SYR,202005,570
199,ALB,202006,78
200,URY,202005,50
201,MOZ,202005,15
202,USA,202008,132007
203,GBR,201908,10052
204,TKM,202008,4
205,MWI,202008,22
206,HTI,201908,201
207,GNQ,202006,1
208,UKR,202009,1433
209,NIC,202009,134
210,MMR,201909,199
211,IRL,201909,1517
212,LKA,202002,368
213,SYR,201805,3568
214,IRN,201805,18512
215,QAT,201805,721
216,KGZ,201805,20
217,LBR,201805,135
218,CRI,201709,119
219,LCA,201709,72
220,PHL,201709,1566
221,DZA,201704,140
222,SGP,201704,548
223,NER,201704,30
224,ISL,201604,221
225,IRN,201604,6965
226,ESP,201604,1800
227,BRB,201709,74
228,SSD,201709,332
229,MRT,201709,86
230,CAN,201609,7388
231,CHE,201811,928
232,CAS,201811,1
233,,201802,643858
234,DEU,201803,4024
235,COG,201803,34
236,SDN,201703,777
237,LBN,201707,1330
238,SEN,201707,30
239,LKA,201707,133
240,TZA,201707,75
241,MRT,201707,15
242,MRT,201708,8
243,VEN,201706,1963
244,EGY,201711,1650
245,AUT,201711,347
246,PSE,201711,1321
247,BLR,201611,352
248,PAK,201611,2050
249,BHS,201810,471
250,PNG,201810,83
251,CUB,201810,1793
252,VNM,201809,1647
253,BRA,201809,1099
254,PAN,201809,523
255,MAR,202012,1495
256,PRT,201801,223
257,BLZ,201608,268
258,DNK,201608,614
259,NAM,201608,143
260,LVA,201608,251
261,COL,201607,747
262,ALB,201712,374
263,GUY,201802,244
264,AZE,201802,293
265,BLR,201802,111
266,AFG,201702,2494
267,NPL,201802,86
268,COG,201802,78
269,PNG,201909,49
270,KHM,201710,293
271,ATG,201807,58
272,LBY,201807,263
273,VAT,201807,261
274,TJK,201807,90
275,ESP,201806,2733
276,ERI,201910,26
277,KOR,201701,2669
278,SAU,201712,2538
279,TTO,202012,64
280,AND,201802,12
281,NGA,201804,1803
282,URY,201804,98
283,DJI,201806,45
284,BLZ,202011,35
285,BGD,201708,243
286,MAR,201908,201
287,MAR,202002,190
288,BTN,202002,9
289,NER,202002,17
290,MOZ,202002,32
291,ARM,201701,361
292,LCA,201702,65
