,Actor2CountryCode,MonthYear,Count
462,SYR,202009,12
463,FRA,201909,616
464,EST,201803,64
465,,201706,35095
466,EST,201711,33
467,COD,201805,2
468,NOR,201703,40
469,TKM,201703,45
470,MKD,201711,13
471,PRT,201607,6
472,FRA,201707,681
473,CZE,201609,315
474,CHN,201609,429
475,JPN,201704,69
476,DEU,201712,472
477,ARE,201712,28
478,MDA,201712,243
479,EST,201802,54
480,GEO,201802,167
481,GRC,201610,61
482,SWE,201612,44
483,JOR,201702,24
484,THA,201701,42
485,AFG,201708,23
486,ZAF,201701,11
487,LUX,201701,5
488,TWN,201608,3
489,HUN,201601,126
490,PHL,201701,2
491,USA,201604,2046
492,AFG,201607,38
493,SYR,201605,204
494,SYR,201604,167
495,JOR,201506,17
496,CZE,201605,99
497,WST,201510,139
498,GRD,201712,2
499,NGA,201712,17
500,ARM,201603,56
501,EGY,201508,71
502,DNK,201805,29
503,YEM,201805,12
504,ETH,201507,3
505,SWE,201606,59
506,JOR,201606,18
507,IDN,201805,2
508,ARM,201510,48
509,NPL,201608,2
510,ISL,201607,1
511,CAS,201512,4
512,EGY,201507,26
513,PGS,201503,3
514,UKR,201807,8071
515,GEO,201807,4
516,TKM,201811,35
517,DMA,202005,2
518,ARG,201507,6
519,TUR,201810,790
520,IRQ,201905,17
521,BRA,201905,33
522,MDA,201904,100
523,UKR,201903,7245
524,ZAF,201504,5
525,OMN,201904,4
526,PAN,201511,1
527,LVA,201906,39
528,HKG,201802,1
529,NGA,201901,22
530,PRT,201901,11
531,ISR,201912,127
532,TKM,201808,13
533,WST,201812,527
534,RWA,201911,4
535,HRV,201910,36
536,ESP,201910,170
537,EUR,202001,782
538,CAN,202002,251
539,SAU,202002,13
540,JOR,201811,17
541,AUT,201812,74
542,CZE,201812,48
543,ZMB,201510,1
544,HKG,201806,2
545,GTM,201811,4
546,HRV,201906,6
547,CUB,201809,1
548,COG,201505,1
549,SSD,201509,1
550,ALB,201807,31
551,ALB,201902,8
552,PAK,201902,20
553,EGY,202011,9
554,MKD,202011,6
555,COG,201910,1
556,ERI,202001,1
557,ZWE,201511,1
558,MMR,201603,1
559,DMA,201605,1
560,HUN,202010,282
561,AUT,202010,38
562,CIV,202009,3
563,NMR,201811,6
564,RWA,202001,3
565,ZAF,202004,6
566,WST,202006,138
567,JOR,202006,6
568,KHM,202006,1
569,BGD,202007,3
570,UGA,202007,2
571,ESP,202008,36
572,KWT,202008,2
573,VNM,202009,11
574,MOZ,202009,12
575,THA,201801,7
576,BLR,201705,942
577,RUS,201711,6228
578,ARE,201611,17
579,SVK,201706,88
580,MYS,201711,18
581,NGA,201703,38
582,GRC,201603,57
583,JPN,201707,110
584,KAZ,201710,56
585,FIN,201707,27
586,HUN,201608,103
587,JPN,201712,90
588,NOR,201804,35
589,GRC,201802,38
590,THA,201802,19
591,IRL,201610,30
592,ITA,201610,310
593,ARM,201612,46
594,GBR,201611,270
