,Actor2CountryCode,MonthYear,Count
539,VEN,201909,1
540,NAM,202006,1
541,BTN,201904,4
542,KWT,201910,3
543,MKD,201905,4
544,KGZ,201812,11
545,DZA,201905,3
546,MDV,202004,4
547,ITA,201905,219
548,TWN,202007,5
549,PRK,202008,3
550,SDN,202008,2
551,NZL,202009,3
552,LBN,201704,2
553,HUN,201511,180
554,MLT,201611,8
555,SYR,201511,186
556,AFR,201708,25
557,UKR,201706,756
558,SRB,201610,15
559,LUX,201803,77
560,CZE,201710,153
561,LTU,201612,173
562,PAN,201612,2
563,DZA,201803,3
564,LBN,201709,3
565,HUN,201805,316
566,BGR,201802,54
567,EST,201511,63
568,ARG,201709,9
569,SAU,201805,12
570,FRA,201804,227
571,QAT,201703,16
572,NMR,201702,2
573,BRA,201801,18
574,NMR,201712,4
575,PHL,201712,4
576,PER,201609,8
577,MAR,201705,5
578,BOL,201803,8
579,HND,201509,19
580,KAZ,201605,42
581,VNM,201612,20
582,TUN,201504,23
583,AUS,201807,44
584,BFA,201602,1
585,LTU,201908,102
586,MDV,201908,12
587,CMR,201711,4
588,THA,201503,5
589,KOR,201505,14
590,FIN,201603,16
591,NAM,201610,2
592,DMA,201712,3
593,SRB,201601,5
594,CZE,201811,199
595,IND,201503,11
596,IRN,201604,11
597,CZE,201904,82
598,SAU,201812,14
599,JOR,201505,5
600,SRB,201605,6
601,VEN,201906,7
602,QAT,201812,21
603,GRD,201812,1
604,TWN,201903,4
605,KHM,201604,4
606,ISL,201502,2
607,ZMB,201506,3
608,WST,201901,103
609,MDV,201901,19
610,FIN,201908,12
611,NZL,201806,3
612,NOR,201806,27
613,CZE,201911,141
614,VNM,201801,1
615,BEL,201905,197
616,MCO,201601,1
617,IND,202012,21
618,ARM,201809,7
619,HND,201901,2
620,GBR,201606,1217
621,SVK,201606,151
622,TWN,201807,9
623,MWI,201903,4
624,PHL,201912,3
625,SDN,201809,2
626,,202010,7552
627,TZA,201604,1
628,TCD,202010,13
629,SEN,202011,1
630,JOR,201604,2
631,DZA,201607,17
632,DZA,202001,4
633,GTM,201812,6
634,AFR,202003,9
635,SYR,202003,1
636,GBR,202003,171
637,ARG,202003,11
638,ARG,202004,1
639,ITA,202005,93
640,SAU,202005,4
641,LUX,202005,3
642,,201906,10101
643,DMA,202006,4
644,MEX,202006,5
645,KAZ,202008,4
646,MAR,202009,7
647,,201701,14983
648,TUR,201702,44
649,EUR,201704,727
650,LVA,201707,37
651,USA,201511,1327
652,EST,201703,181
653,TWN,201701,16
654,SLV,201611,5
655,DNK,201708,30
656,UKR,201604,554
657,FIN,201610,37
658,GRC,201706,128
659,FIN,201708,12
660,BEL,201612,117
661,NZL,201612,54
662,ISR,201609,265
663,IRN,201709,9
664,MCO,201702,3
665,GRC,201805,67
666,AFR,201804,55
667,ZWE,201612,5
668,ARE,201612,3
669,HUN,201509,487
670,AUS,201601,33
671,NGA,201705,3
672,MKD,201705,9
673,CAN,201505,83
674,TUR,201604,159
675,KOR,201602,22
676,MLI,201702,2
677,HUN,201903,360
678,BLR,201903,106
679,KAZ,201510,9
680,MDV,201509,10
681,IDN,201506,10
682,MDV,201512,22
683,AUS,201908,23
684,MKD,201908,11
685,MLI,201610,6
686,BRA,201807,14
687,PAK,201605,9
688,,201811,12536
689,ZAF,201605,19
690,PRK,201605,8
691,SYR,201812,18
692,UGA,201712,2
693,TCD,201702,2
694,SAU,201604,18
695,DOM,201504,5
696,AFR,201502,4
697,BGD,201604,2
698,BLR,201904,180
699,NZL,201808,126
700,LBY,201511,7
701,COD,201701,1
702,NLD,201907,54
703,NGA,201508,4
704,CHE,201809,44
705,BRA,201902,25
706,CRI,201711,8
707,KAZ,201507,5
708,NZL,201803,8
709,UGA,201910,3
710,HRV,201809,13
711,IRQ,201806,20
712,TUR,201806,55
713,IND,201504,3
714,ARG,201511,12
715,HTI,201808,4
716,SYR,201908,14
717,PHL,201906,5
718,BWA,201604,3
719,DNK,201912,21
720,RUS,201912,1135
721,LUX,201902,22
722,GRC,201902,30
723,EST,202012,14
724,PRT,202011,7
725,AUT,201606,27
726,UZB,201807,3
727,SAU,201912,6
728,ESP,202010,31
729,PHL,201909,7
730,PRK,201904,5
731,VEN,201807,8
732,SYR,202012,7
733,FIN,202001,5
734,KHM,202001,4
735,TZA,201812,3
736,TJK,201812,3
737,ZAF,202003,6
738,CRI,201911,2
739,PRY,201806,1
740,COD,201703,2
741,ARM,202011,1
742,AGO,201909,8
743,MUS,201605,1
744,MDG,201910,1
745,CYP,202001,1
746,LCA,202004,1
747,PRK,202004,10
748,GRC,202006,24
749,NGA,202007,7
750,UZB,202006,3
751,CAN,202008,33
752,GRC,201707,56
753,WST,201611,253
754,DEU,201611,556
755,KWT,201701,1
756,IDN,201511,9
757,UKR,201708,878
758,ESP,201708,95
759,RUS,201604,1539
760,DEU,201610,465
761,LUX,201706,14
762,JOR,201706,3
763,POL,201705,2151
764,USA,201803,1412
765,SVK,201612,53
766,ESP,201612,86
767,ARM,201803,36
768,WST,201609,226
769,ITA,201609,170
770,MDA,201803,45
771,LVA,201803,102
772,BGR,201801,123
773,IDN,201609,10
774,SAU,201701,8
775,CYP,201707,4
776,CHN,201705,297
777,TUR,201804,74
778,VEN,201804,7
779,ARE,201804,37
780,ARM,201711,32
781,KOR,201711,14
782,GBR,201604,275
783,JOR,201705,15
784,CAN,201705,77
785,CZE,201509,436
786,PSE,201602,11
787,SWE,201506,40
788,QAT,201706,12
789,BEL,201503,78
790,PRT,201504,14
791,GRC,201903,45
792,MWI,201801,4
793,LBN,201510,16
794,SWE,201802,25
795,NZL,201501,3
796,AUT,201504,53
797,VAT,201505,10
798,IRQ,201503,13
799,AGO,201608,2
800,TTO,201609,3
801,ALB,201511,4
802,DMA,201602,2
803,ARG,201811,31
804,LBN,201602,3
805,NGA,201509,14
806,PRT,201605,24
807,MKD,201601,8
808,LBY,201508,3
809,TJK,201507,3
810,IDN,201608,18
811,NMR,201507,1
812,EST,201811,64
813,LVA,201602,20
814,GRC,201504,24
815,PHL,201808,12
816,VNM,201506,4
817,KHM,201805,1
818,BGD,201805,3
819,GRC,201810,64
820,JPN,201902,23
821,MUS,201705,2
822,MUS,201604,4
823,ISL,201604,12
824,ZMB,201508,2
825,,201901,13427
826,COL,201502,5
827,HND,201712,1
828,SVK,201806,215
829,HUN,201911,214
830,AUS,201911,42
831,PSE,201507,6
832,TJK,201905,13
833,CHL,201906,9
834,FIN,202011,13
835,KAZ,201902,9
836,BGD,201907,5
837,IND,202002,2
838,CPV,201801,1
839,PNG,201509,2
840,GAB,201911,2
841,MAR,201508,1
842,PAK,202010,9
843,MRT,202011,1
844,ARE,201911,1
845,OMN,201810,2
846,MLT,201712,1
847,DMA,201912,1
848,UZB,201604,1
849,ZWE,201812,3
850,GHA,201911,1
851,LBR,202006,2
852,AGO,201704,3
853,SGP,201903,21
854,TTO,201802,1
855,SLV,202002,1
856,SYC,202002,4
857,MOZ,202004,2
858,THA,202001,1
859,PGS,201903,1
860,SGP,201905,2
861,BEL,202005,29
862,BGR,202005,8
863,NLD,202006,15
864,DMA,202007,3
865,FIN,202007,18
866,TUR,202003,30
867,CUB,201702,11
868,MUS,201702,5
869,AUT,201704,40
870,DEU,201707,1921
871,USA,201708,912
872,BLR,201611,148
873,LBN,201706,7
874,HUN,201802,193
875,RUS,201609,1235
876,USA,201609,984
877,GBR,201711,465
878,SEN,201803,3
879,SVK,201801,70
880,PAN,201801,20
