,Actor2CountryCode,MonthYear,Count
388,BLZ,201708,1
389,AUT,201901,14
390,UKR,201608,46
391,NGA,201608,2
392,EST,201504,8
393,IDN,201603,5
394,EUR,201812,116
395,ARE,201506,3
396,WST,201711,2
397,SDN,201703,8
398,TWN,201507,6
399,SWE,201808,3
400,ALB,201910,12
401,ESP,201908,4
402,URY,201712,1
403,PSE,202012,2
404,AUT,202002,15
405,ARE,201710,3
406,KWT,201601,1
407,NLD,201808,1
408,GHA,201706,5
409,SAU,201510,2
410,MNG,201602,2
411,KGZ,201602,1
412,CAN,201806,8
413,VAT,201602,1
414,FRA,202011,7
415,MDV,201605,1
416,TUR,201512,2
417,LVA,202011,6
418,LBN,202011,2
419,AFG,201512,1
420,KAZ,201504,1
421,ESP,202008,2
422,THA,201802,2
423,ITA,201610,80
424,GBR,201611,68
425,BLR,201705,5
426,ARM,201612,1
427,IRL,201610,5
428,SVK,201706,250
429,NLD,201505,7
430,SYR,201509,157
431,BGR,201601,11
432,BLR,201601,7
433,CAN,201603,9
434,EUR,201507,103
435,GRC,201603,118
436,USA,201506,73
437,JPN,201712,1
438,HUN,201507,81
439,NLD,201904,7
440,JPN,201707,1
441,IRL,201511,6
442,YEM,201903,5
443,SWE,201604,3
444,RUS,201811,54
445,NZL,201509,12
446,BRA,201601,2
447,HUN,201608,191
448,GBR,201806,67
449,FIN,201707,4
450,CYP,201601,2
451,GRC,201802,5
452,ARE,201611,4
453,ISR,202001,17
454,SYR,202001,5
455,DMA,201701,2
456,CAN,201504,8
457,PAK,201510,4
458,RUS,201711,137
459,PSE,201901,1
460,LTU,201811,20
461,CHE,201911,7
462,PRT,201505,5
463,ISR,201910,5
464,FRA,201910,6
465,NOR,201804,2
466,IRQ,201811,3
467,PAN,201508,1
468,UZB,201910,9
469,ITA,202011,9
470,OMN,201602,3
471,ALB,202001,3
472,VAT,201506,1
473,SYC,201810,9
474,KEN,201605,9
475,LVA,201606,10
476,MLT,201507,1
477,TWN,201607,2
478,CHL,202003,1
479,GEO,201806,5
480,JPN,202005,4
481,BGR,202007,5
482,GBR,202007,62
483,CUB,202007,1
484,AZE,201701,1
485,BGR,201805,128
486,,201611,2699
487,CYP,201610,8
488,AFG,201912,1
489,AUS,201803,5
490,MKD,201505,8
491,HRV,201708,12
492,IRQ,201604,11
493,POL,201707,250
494,USA,201707,65
495,KOR,201506,22
496,IRN,201609,4
497,ESP,201609,64
498,POL,201811,53
499,CYP,201901,2
500,BGR,201508,21
501,VAT,201511,12
502,CHN,202001,15
503,ISL,201805,3
504,CAN,201810,2
505,TUN,201704,7
506,BLR,201704,56
507,AFG,201602,8
508,LUX,201710,10
509,FIN,201802,7
510,THA,201908,9
511,MLI,201908,2
512,EGY,201605,4
513,BEL,201804,24
514,CAN,201512,1
515,EGY,202005,1
516,LVA,201504,3
517,LVA,201812,38
518,UKR,201910,27
519,WST,201806,21
520,ARG,201508,2
521,KGZ,201812,6
522,LCA,201803,1
523,AFR,201601,1
524,FIN,202002,7
525,SWE,202002,4
526,PAK,201801,1
527,SAU,201710,2
528,EGY,201902,9
529,ZWE,201803,3
530,AND,201808,2
531,SRB,201808,2
532,MLT,201603,2
533,MKD,201905,1
534,ALB,201508,1
535,IRL,201607,11
536,JOR,201711,1
537,GBR,202003,15
538,ITA,202005,15
539,,201906,1738
540,MAR,202009,2
541,EUR,201704,115
542,GRC,201805,18
543,,201701,2065
544,BEL,201612,45
545,NZL,201612,2
546,EST,201703,11
547,RUS,201912,65
548,GRC,201706,24
549,HUN,201509,745
550,UKR,201604,73
551,USA,201511,79
552,,201811,2514
553,TUR,201702,3
554,AUS,201908,7
555,HUN,201903,76
556,AUS,201601,6
557,ARE,201612,9
558,MCO,201704,7
559,HRV,201809,6
560,CHE,201809,1
561,KAZ,201507,2
562,MKD,201705,4
563,ESP,202010,3
564,BRA,201902,1
565,NLD,201907,15
566,CAN,201505,2
567,CRI,201711,4
568,AUT,201606,40
569,ISR,201609,17
570,LVA,201707,5
571,ALB,201602,1
572,KOR,201602,2
573,TUR,201604,8
574,IRQ,201806,3
575,CYP,202001,1
576,TUR,201806,7
577,DNK,201708,8
578,AFR,201804,6
579,BLR,201904,4
580,FIN,201610,2
581,GRC,201902,11
582,BRB,201902,2
583,SYR,201812,6
584,BRA,201807,1
585,SYR,202012,1
586,SAU,201912,3
587,BLR,201903,7
588,OMN,201606,4
589,ARM,202011,2
590,CYP,201606,10
591,SVK,202003,250
592,UKR,202004,23
593,FIN,202006,5
594,KAZ,202006,2
595,MLT,201703,21
596,UKR,201803,8
597,BEL,201704,21
598,IRN,201802,14
599,BGR,201709,15
600,KAZ,201709,8
601,GBR,201703,109
602,BEL,201703,30
603,AUT,201705,49
604,EUR,201510,172
605,AUT,201711,47
606,HRV,201912,4
607,EST,201706,9
608,CHL,201807,3
609,URY,201803,2
610,ITA,201902,58
611,POL,201804,126
612,GBR,201911,61
613,AUT,201712,21
614,KOR,201512,15
615,CZE,201502,36
616,KAZ,201503,12
617,SVK,201707,302
618,IND,201903,1
619,BGR,201704,30
620,GRC,201510,20
621,VNM,201807,40
622,TUN,201604,2
623,LVA,201510,13
624,SYR,201701,13
625,LVA,201810,11
626,SDN,201705,2
627,ITA,201907,29
628,ALB,201905,7
629,IRN,201905,2
630,LBY,202001,4
631,EST,201707,8
632,SAU,201705,2
633,BRA,201811,8
634,BGR,201907,17
635,POL,202002,56
636,SRB,201806,33
637,FRA,202003,17
638,ZAF,201509,11
639,BLR,201708,8
640,CHN,201708,6
641,DNK,201611,5
642,PRT,201712,14
643,PSE,201601,2
644,BRB,201510,2
645,SDN,201702,1
646,ISL,201806,2
647,IRQ,201603,2
648,ETH,201608,2
649,CHE,201606,19
650,ISR,201505,2
651,EST,202011,1
652,BRA,201509,1
653,TZA,201606,2
654,CHN,202008,5
655,FRA,202008,7
656,,201603,2967
657,USA,201611,85
658,USA,202012,24
659,IRN,201902,22
660,UKR,201503,77
661,GBR,201503,38
662,SVK,201804,493
663,IRL,201911,8
664,NLD,201506,42
665,FRA,201505,26
666,CUB,201905,2
667,CAN,201809,8
668,TUR,201802,24
669,MDV,201703,3
670,LIE,201705,4
671,PRT,201507,3
672,LTU,202010,13
673,GBR,201907,13
674,GRC,201807,3
675,BEL,201710,18
676,GRC,201911,6
677,NOR,201711,4
678,BGR,201608,73
679,CUB,201705,4
680,BGR,201806,49
681,IDN,201809,3
682,CHE,201906,2
683,LUX,201802,1
684,HRV,201607,7
685,TUR,201507,6
686,USA,201501,2
687,MDA,201903,4
688,ARM,201812,15
689,ZAF,201604,1
690,IRQ,201812,1
691,PAN,201812,1
692,FIN,202010,4
693,ARE,202009,1
694,AND,201806,1
695,BHR,201912,4
696,ARE,201903,6
697,WST,202010,2
698,ARE,201607,6
699,NGA,201607,3
700,SDN,201701,1
701,KWT,201904,1
702,VNM,202003,3
703,CHN,201709,2
704,WST,201908,1
705,ARE,202004,5
706,ESP,202006,8
707,SVK,201907,204
708,LTU,202008,22
709,,201805,2397
710,CHL,201801,3
711,MLI,201801,1
712,ARG,201612,1
713,SRB,201612,19
714,BGR,201610,28
715,,201512,2343
716,WSM,201612,1
717,,201510,2408
718,CZE,201510,253
719,CHE,201610,20
720,ISR,201902,245
721,ITA,201509,97
722,FIN,201911,14
723,WST,201604,18
724,MDA,201604,22
725,IRN,201712,1
726,ISR,201903,18
727,AUT,201506,42
728,TWN,201506,1
729,HUN,201502,38
730,PRT,201705,1
731,USA,201509,59
732,USA,201502,29
733,PAK,201503,2
734,ISR,201905,4
735,CHE,201603,2
736,BGR,201804,9
737,HRV,201608,20
738,DEU,201607,78
739,HRV,201603,2
740,MDA,201707,2
741,AFG,201906,1
742,EST,201503,15
743,IRQ,202001,36
744,CUB,201605,6
745,FRA,201702,5
746,SAU,201603,3
747,MDV,201802,3
748,PRT,201609,16
749,AUS,201503,10
750,ESP,201605,132
751,IRQ,201605,5
752,PAK,201604,1
753,TUR,201502,5
754,JPN,201607,6
755,IRQ,201804,6
756,ARE,201507,2
757,CHL,201506,4
758,BGR,201812,23
759,MKD,201809,1
760,TUR,201708,2
761,AUS,201511,1
762,SWE,201804,1
763,NGA,202011,3
764,VNM,201509,2
765,DNK,201701,2
766,IRL,201507,1
767,BLR,201806,1
768,CHN,202004,10
769,HUN,202006,216
770,MCO,202009,1
771,ITA,201803,965
772,ITA,201802,186
773,MDV,201803,32
774,RUS,201709,30
775,RUS,201801,70
776,HUN,201705,123
777,NMR,201705,1
778,FRA,201912,24
779,PSE,201706,1
780,SVK,201508,405
781,CZE,201902,230
782,GBR,201804,70
783,UKR,201908,16
784,CHN,201509,21
785,LBN,201512,4
786,IRL,201512,7
787,KOR,201509,9
788,DEU,201609,285
789,ITA,201809,32
790,BEL,201809,14
791,ITA,201503,30
792,LVA,201802,5
793,GTM,201701,8
794,LTU,201704,20
795,ALB,201611,5
796,ESP,201809,9
797,MDA,202006,10
798,ZWE,201801,1
799,,201910,1552
800,AFR,201905,2
801,LUX,201503,10
802,PRT,201608,1
803,AND,201707,2
804,AFG,201808,6
805,LSO,202012,2
806,SVK,202002,236
807,ISR,201701,14
808,MAR,201904,1
809,ITA,201910,20
810,VEN,201706,4
811,LTU,201607,13
812,LUX,201806,5
813,BGR,202011,5
814,GBR,202011,16
