,Actor2CountryCode,MonthYear,Count
439,BOL,201905,2
440,MDA,202001,6
441,BHR,201607,1
442,MNG,202003,12
443,NOR,202004,20
444,KIR,202004,2
445,THA,202005,92
446,ASA,202005,3
447,JOR,202005,18
448,SVK,202005,6
449,TUR,201907,312
450,USA,201906,6225
451,HTI,202006,1
452,ARG,202007,7
453,ZMB,202007,5
454,IRL,202008,17
455,SWE,202008,20
456,PLW,202009,4
457,DNK,201703,31
458,ARG,201611,317
459,KEN,201611,45
460,SVK,201608,14
461,RUS,201707,756
462,SAU,201707,87
463,THA,201610,210
464,KIR,201702,4
465,ARM,201702,25
466,ETH,201611,26
467,CHL,201701,101
468,JAM,201702,16
469,GUY,201701,19
470,RUS,201706,511
471,DZA,201706,1
472,MLI,201708,3
473,TUN,201708,7
474,BOL,201704,3
475,CYP,201703,8
476,ZAF,201708,2
477,KAZ,201610,64
478,BGR,201706,8
479,BTN,201612,15
480,ZMB,201612,3
481,OMN,201708,19
482,THA,201705,104
483,JPN,201605,7164
484,ETH,201609,10
485,CHL,201608,25
486,VAT,201701,4
487,SLB,201701,10
488,CHN,201801,2607
489,IDN,201801,257
490,AUS,201805,458
491,EGY,201803,81
492,SDN,201803,12
493,TWN,201711,172
494,BLZ,201803,36
495,GUY,201803,6
496,LBN,201803,16
497,FJI,201608,9
498,MCO,201705,13
499,BMU,201705,4
500,TGO,201612,2
501,FIN,201802,19
502,PHL,201807,238
503,GHA,201802,26
504,BGR,201710,123
505,CZE,201711,11
506,NAM,201711,10
507,RUS,201507,828
508,PAK,201507,92
509,CHE,201509,53
510,MDV,201504,35
511,KAZ,201603,31
512,ZMB,201508,15
513,GRC,201712,16
514,FIN,201712,25
515,ISL,201801,12
516,KHM,201807,38
517,EGY,201811,66
518,TWN,201806,262
519,JAM,201806,18
520,AZE,201807,13
521,VAT,201801,4
522,BRA,201901,134
523,BTN,201901,11
524,MDG,201705,1
525,GIN,201506,2
526,TGO,201604,9
527,GUY,201801,7
528,KEN,201505,17
529,PRT,201605,29
530,MDG,201802,2
531,PRK,201809,856
532,SEA,201902,47
533,MEA,201711,2
534,COL,201504,27
535,VUT,201908,4
536,FJI,201601,8
537,SVK,201602,3
538,PRY,201509,4
539,UKR,201903,83
540,MAR,201902,3
541,DOM,201602,3
542,MOZ,201601,7
543,KAZ,201604,16
544,URY,201502,4
545,GHA,201710,14
546,HTI,201509,3
547,DNK,201908,26
548,HUN,201509,7
549,AUT,201910,34
550,CZE,201709,10
551,SEN,201910,3
552,MAC,201701,8
553,NOR,201808,20
554,SRB,201808,15
555,COK,201701,2
556,UZB,201701,18
557,STP,201701,1
558,DJI,201701,2
559,LAO,201802,3
560,MCO,201511,9
561,TCD,201901,4
562,CZE,201902,8
563,COD,201902,21
564,SAS,201805,6
565,CRI,201809,2
566,LUX,201809,3
567,COK,201901,2
568,TGO,201901,2
569,IRN,201607,260
570,SLE,201607,5
571,ZWE,201903,11
572,PGS,201603,1
573,NER,201611,7
574,NAM,201508,3
575,,201912,18720
576,DEU,201912,177
577,HRV,201912,8
578,MHL,201710,3
579,UGA,201607,14
580,LSO,201910,10
581,TGO,201810,3
582,WSM,201605,5
583,PRT,201502,5
584,LUX,202001,3
585,BRN,202010,42
586,BHS,202010,5
587,BEL,202003,19
588,KGZ,202001,4
589,NER,201908,1
590,HKG,201810,4
591,KGZ,201901,3
592,CIV,202001,2
593,HND,201801,2
594,GUY,201607,6
595,TUN,201905,2
596,PAN,202011,6
597,RWA,201811,2
598,SGP,202003,142
599,SHN,202007,6
600,YEM,202006,5
601,KGZ,202006,14
602,MNG,202005,7
603,KAZ,202006,5
604,NMR,201907,29
605,PSE,202007,1
606,BHS,202007,1
607,BRN,202008,21
608,WAF,202009,2
609,FIN,202009,6
610,LBY,202009,8
611,ZWE,202009,6
612,NMR,201703,76
613,IRQ,201608,52
614,MDA,201707,3
615,SSD,201704,120
616,SSD,201702,41
617,IND,201701,130
618,PRT,201706,16
619,KOR,201606,1235
620,MCO,201706,10
621,COL,201706,7
622,MAC,201704,2
623,BLR,201706,15
624,PHL,201609,526
625,BWA,201610,9
626,BOL,201706,8
627,MYS,201609,100
628,FRA,201609,421
629,PSE,201612,35
630,AUT,201607,21
631,PAK,201705,166
632,MLT,201705,48
633,CRI,201609,2
634,LBN,201702,18
635,SLE,201703,1
636,SLV,201704,9
637,JPN,201805,4197
638,SGP,201805,339
639,IRL,201805,66
640,VNM,201803,425
641,VNM,201710,348
642,MAR,201803,16
643,ARM,201709,15
644,MDA,201705,5
645,MCO,201804,10
646,AFR,201503,169
647,TWN,201503,262
648,FRA,201512,520
649,KEN,201503,123
650,POL,201506,69
651,TWN,201802,193
652,VNM,201802,146
653,MHL,201709,6
654,BRB,201703,2
655,LUX,201608,5
656,GUY,201710,4
657,CHE,201812,55
658,FRA,201601,314
659,VEN,201711,9
660,MNG,201907,34
661,PER,201907,90
662,ARE,201604,37
663,SWE,201602,48
664,TUN,201507,6
665,MKD,201709,47
666,ITA,201601,115
667,NGA,201712,36
668,KNA,201712,1
669,TGO,201711,9
670,VEN,201807,10
671,KHM,201504,80
672,FIN,201503,12
673,KHM,201811,48
674,MEX,201811,96
675,GMB,201612,8
676,AFR,201607,221
677,BTN,201805,3
678,SLB,201812,14
679,MWI,201802,18
680,IRL,201508,47
681,AFG,201605,56
682,MNG,201506,24
683,SAU,201911,84
684,PAN,201911,4
685,HND,201509,8
686,TJK,201508,13
687,TCD,201504,12
688,LBN,201511,24
689,ZAF,201606,9
690,ARG,201810,28
691,ZWE,201907,13
692,MLI,201505,14
693,NRU,201509,2
694,MOZ,201504,12
695,SRB,201508,10
696,WSM,201508,3
697,LBN,201606,17
698,BLR,201606,18
699,CUB,201510,5
700,ESP,201903,71
701,PNG,201601,4
702,TUN,201605,19
703,KWT,201509,9
704,TJK,201605,2
705,ALB,201507,9
706,MWI,201605,6
707,TON,201506,17
708,LAO,201503,30
709,LBR,201710,6
710,YEM,201710,7
711,PSE,201909,26
712,CUB,201908,5
713,MHL,201908,3
714,ITA,201906,136
715,DNK,201906,26
716,ZAF,201906,33
717,TKM,201602,4
718,GBR,201809,569
719,HRV,201904,2
720,MKD,201512,5
721,ABW,201710,3
722,ISL,201809,20
723,MLI,201509,7
724,TCD,201506,2
725,GIN,201810,2
726,COD,201710,2
727,SAF,201509,3
728,BLR,201910,7
729,SDN,201812,4
730,SEN,201804,2
731,MWI,201607,7
732,SVK,201712,3
733,AGO,201906,4
734,DEU,202010,143
735,DNK,202003,3
736,RWA,202003,3
737,CIV,201809,2
738,GBR,202011,286
739,PRY,201809,1
740,SVK,201808,1
741,KEN,202012,7
742,KAZ,202012,7
743,BWA,201607,6
744,VAT,201905,1
745,AGO,202002,4
746,GNQ,202001,2
747,CHN,202002,3328
748,ISL,202004,7
749,PER,202005,26
750,ESP,202005,81
751,NOR,202005,29
752,TWN,201905,180
753,IDN,202006,143
754,IRL,202006,22
755,BRN,202006,10
756,DZA,202006,2
757,IND,202008,82
758,IRN,202008,8
759,LAO,202008,31
760,SDN,202008,4
761,SDN,202009,5
762,FJI,202003,18
763,JPN,201703,5689
764,PER,201703,80
765,LKA,201703,53
766,MLT,201703,7
767,FRA,201703,392
768,IDN,201701,961
769,GBR,201607,710
770,VNM,201707,361
771,LUX,201707,48
772,SAU,201610,168
773,BTN,201704,19
774,TUR,201704,63
775,IRN,201701,84
776,SAU,201708,77
777,AUT,201704,9
778,VNM,201603,422
779,HRV,201708,5
780,SRB,201610,13
781,BEN,201610,3
782,UKR,201609,203
783,BGR,201609,12
784,USA,201612,12689
785,ISR,201612,106
786,LKA,201612,92
787,BGR,201707,5
788,DOM,201701,3
789,DZA,201612,18
790,DZA,201611,12
791,IRQ,201511,92
792,NER,201703,2
793,IDN,201512,396
794,PAN,201709,24
795,ETH,201610,4
796,AUS,201803,588
