,Actor2CountryCode,MonthYear,Count
440,ASA,201612,8
441,LCA,201804,6
442,TUR,201512,813
443,PER,201606,363
444,TWN,201606,52
445,SAF,201606,11
446,ARE,201506,243
447,GNB,201712,2
448,MEA,201704,1
449,ABW,201608,2
450,IDN,201603,95
451,FRA,201503,3494
452,VAT,201602,89
453,KEN,201502,147
454,TWN,201507,35
455,SOM,201503,169
456,EST,201504,39
457,KWT,201507,119
458,BGR,201509,37
459,DZA,201502,62
460,KAZ,201504,36
461,PAN,201603,59
462,MDV,201605,299
463,GHA,201502,57
464,GRD,201511,15
465,CUB,201503,78
466,TTO,201601,22
467,GMB,201506,38
468,KGZ,201602,37
469,SWZ,201605,3
470,CRI,201605,12
471,COD,201504,18
472,SEA,201601,16
473,ASA,201509,3
474,SHN,201604,2
475,TON,201807,43
476,GIN,201907,17
477,MDA,201907,22
478,BDI,201808,7
479,SWE,201808,215
480,GAB,201808,9
481,NLD,201808,411
482,AUT,201901,139
483,HTI,201901,11
484,EUR,201812,4793
485,THA,201811,197
486,SGP,201811,158
487,LBY,201810,141
488,LAO,201502,3
489,DZA,201906,23
490,TGO,201906,26
491,CZE,201906,83
492,TON,201812,6
493,THA,202012,85
494,MDG,201906,7
495,COK,201511,2
496,PLW,201602,1
497,MUS,201910,72
498,BWA,201910,51
499,ALB,201910,86
500,ATG,201910,24
501,PRY,201902,6
502,SLE,201902,33
503,CYM,201809,19
504,ETH,201904,76
505,GMB,201907,8
506,NPL,201808,35
507,BEN,202003,17
508,MOZ,201807,3
509,MAR,201909,101
510,PER,201909,25
511,ITA,201911,592
512,MYS,201911,169
513,FRA,202011,1449
514,LBN,202011,44
515,LVA,202011,19
516,AUT,202002,111
517,BHS,202002,41
518,TTO,202002,19
519,BDI,201812,2
520,TUV,201910,8
521,ETH,201910,38
522,HTI,201909,9
523,ATG,201505,2
524,BLZ,201911,7
525,LAO,201509,1
526,VUT,201904,5
527,FSM,201811,1
528,PSE,202012,102
529,PLW,201909,1
530,CRI,202011,6
531,FSM,201911,2
532,SCN,202002,1
533,COK,201906,2
534,VEN,202004,11
535,ECU,202003,69
536,PSE,201904,147
537,NZL,202005,341
538,CMR,202005,18
539,EUR,201905,4527
540,IND,202006,198
541,COL,202006,26
542,THA,202007,90
543,CZE,202007,62
544,ERI,202007,13
545,SEN,202006,8
546,SWE,201907,466
547,GIN,202006,9
548,HTI,202007,3
549,AFR,202008,364
550,MDV,202008,117
551,YEM,202008,93
552,NLD,201908,357
553,KOR,201908,195
554,HUN,201908,47
555,GHA,202009,103
556,GUY,202009,8
557,TUN,202009,49
558,MYS,201709,164
559,SLV,201803,16
560,PAK,201803,671
561,MLI,201701,17
562,BHS,201709,67
563,SWE,201805,347
564,BRB,201803,29
565,BMU,201702,27
566,ISR,201802,622
567,NZL,201702,306
568,NMR,201711,52
569,HTI,201608,6
570,TTO,201709,19
571,BRA,201612,496
572,CAN,201612,1540
573,FIN,201612,166
574,BRA,201610,508
575,SDN,201611,114
576,VNM,201702,119
577,BMU,201703,30
578,YEM,201703,502
579,PGS,201703,21
580,MDV,201708,274
581,BEN,201708,23
582,SYR,201708,648
583,BHS,201711,12
584,DEU,201704,2128
585,TCD,201704,23
586,RWA,201704,36
587,UKR,201704,642
588,SAS,201704,30
589,NLD,201602,611
590,BEL,201511,635
591,TUN,201706,604
592,CZE,201706,185
593,COD,201706,15
594,DEU,201606,3637
595,NLD,201705,453
596,ZWE,201712,124
597,IDN,201602,146
598,CRI,201804,7
599,JPN,201603,553
600,SYR,201508,1363
601,NLD,201601,650
602,KGZ,201701,9
603,MHL,201703,3
604,PAK,201705,789
605,NZL,201707,680
606,LKA,201707,121
607,KOR,201707,154
608,EGY,201602,941
609,PAK,201607,1284
610,RUS,201605,1975
611,SHN,201708,1
612,NMR,201607,69
613,ECU,201607,54
614,CHL,201607,94
615,SYC,201705,5
616,BTN,201805,5
617,ABW,201705,2
618,CHL,201604,87
619,CAF,201704,1
620,DJI,201705,4
621,SEN,201512,12
622,ARG,201503,692
623,RUS,201504,2054
624,HND,201511,2
625,ESP,201502,344
626,KAZ,201511,252
627,PER,201510,63
628,SOM,201603,107
629,VAT,201604,24
630,KNA,201605,76
631,EGY,201504,398
632,MLI,201504,23
633,MWI,201504,32
634,COD,201509,35
635,CMR,201503,35
636,VEN,201602,98
637,HKG,201603,5
638,ALB,201507,19
639,AGO,201503,37
640,CIV,201502,3
641,TZA,201512,25
642,THA,201501,6
643,AFG,201807,540
644,VEN,201808,37
645,COK,201604,2
646,GUY,201811,38
647,GRC,201811,337
648,AUT,201811,233
649,SVK,201810,58
650,LUX,201908,61
651,PGS,201908,100
652,SLV,201811,15
653,LAO,201811,4
654,VUT,201502,4
655,RUS,201904,2292
656,CMR,201904,56
657,ISL,201807,58
658,GUY,201810,25
659,IRQ,201809,302
660,DMA,201503,4
661,CMR,201806,40
662,MYS,201806,161
663,TKM,201605,1
664,CYM,201907,21
665,FJI,201903,56
666,JOR,201902,278
667,MYS,201902,166
668,NIC,201812,10
669,KAZ,201812,18
670,COD,201811,26
671,NMR,201910,38
672,KOR,201910,205
673,CYP,201910,246
674,BTN,201905,2
675,SVK,201809,71
676,NIC,201902,7
677,LBR,201807,23
678,BOL,201808,17
679,MUS,201909,80
680,TTO,201812,9
681,SDN,201911,41
682,COD,202011,12
683,UGA,202011,18
684,JAM,202002,414
685,MLT,202002,25
686,CRI,201904,10
687,LKA,202012,93
688,NRU,201809,3
689,JPN,202010,442
690,DEU,202012,2181
691,KGZ,202012,1
692,AIA,202012,1
693,TKM,201509,1
694,LVA,202010,10
695,HTI,202011,4
696,IRL,202004,1647
697,PHL,202004,179
698,QAT,202004,75
699,NAM,202004,1
700,,201903,102512
701,FJI,202003,25
702,BRN,202004,3
703,JAM,201904,221
704,DZA,202005,31
705,NZL,201905,585
706,YEM,202006,144
707,QAT,202006,81
708,SRB,202007,48
709,RWA,202007,9
710,KWT,202006,12
711,MLI,202006,10
712,ALB,202007,23
713,AIA,202007,8
714,MLT,202007,46
715,FIN,202008,25
716,IRL,201908,3988
717,GTM,202009,5
718,TUV,202009,3
719,LCA,202009,14
720,BRA,201909,292
721,MDV,201909,162
722,ITA,201709,1134
723,CZE,201711,78
724,MUS,201801,24
725,CHN,201805,2091
726,DEU,201805,3957
727,LKA,201805,223
728,PSE,201805,862
729,BDI,201801,3
730,IND,201701,625
731,NLD,201802,588
732,SLV,201805,12
733,TUR,201608,736
734,SEA,201608,34
735,LBY,201612,151
736,IDN,201612,112
737,SAU,201611,842
738,MYS,201610,249
739,TZA,201611,40
740,MCO,201611,95
741,KNA,201611,113
742,AUT,201703,187
743,THA,201703,130
744,AUS,201603,1440
745,MAR,201704,78
746,BTN,201803,6
747,MEX,201710,248
748,PLW,201611,4
749,JPN,201706,454
750,BRN,201706,14
751,JAM,201706,96
752,ALB,201802,133
753,IDN,201802,110
754,GMB,201803,24
755,AFR,201510,802
756,SYR,201705,1280
757,PAK,201602,707
758,JAM,201509,462
759,VAT,201712,28
760,RWA,201802,28
761,MDA,201703,37
762,ESP,201601,801
763,ISL,201512,62
764,WAF,201610,5
765,CIV,201712,5
766,LVA,201701,27
767,LAO,201801,14
768,JPN,201510,527
769,MKD,201707,44
770,BTN,201707,25
771,IND,201607,647
772,MNG,201609,39
773,EST,201512,31
774,PLW,201803,6
775,ZAF,201601,221
776,MNG,201710,13
777,MHL,201710,1
778,NLD,201511,835
779,VUT,201702,4
780,JPN,201507,656
781,IRN,201507,2931
782,CRB,201806,7
783,BEL,201602,1990
784,MHL,201704,4
785,MWI,201606,70
786,TJK,201606,2
787,BHR,201602,97
788,UKR,201502,1055
789,KGZ,201509,11
790,BRA,201505,216
791,QAT,201602,193
792,MHL,201712,3
793,BGD,201506,202
794,KWT,201505,50
795,MEX,201512,179
796,CZE,201512,120
797,BRB,201605,33
798,NLD,201502,240
799,MDA,201605,24
800,HRV,201505,51
801,ISR,201502,283
802,MCO,201505,94
803,CUB,201602,34
804,CRB,201602,11
805,VUT,201503,64
806,GAB,201604,6
807,SLE,201507,66
808,PGS,201505,3
809,TKM,201511,6
810,BLZ,201604,49
811,WAF,201510,6
812,COG,201502,9
813,CIV,201504,16
814,DJI,201509,19
815,TON,201502,1
816,LKA,201807,254
817,KGZ,201808,7
818,BMU,201808,24
819,SLE,201901,24
820,ISR,201811,665
821,IRN,201811,1193
822,VAT,201901,11
823,SAU,201905,393
824,GNQ,201605,2
825,AND,201506,3
826,GRC,201812,234
827,GUY,201812,27
828,DOM,201901,14
829,LCA,201806,15
830,PRT,201903,355
831,BDI,201903,14
832,IDN,201903,123
833,LAO,201902,3
834,BGR,201910,262
835,VNM,201910,1289
836,LSO,201905,9
837,SWZ,201902,2
838,MUS,201809,224
839,ATG,201807,24
840,ARM,201808,66
841,COK,201807,1
842,CRI,201909,17
843,SWE,202001,342
844,POL,202001,258
845,VAT,202001,14
846,GBR,201912,14693
847,SAS,201911,32
848,MYS,202011,144
849,ISL,202002,56
850,QAT,202002,125
851,SVK,201904,22
852,OMN,202002,23
853,CAF,201808,1
854,FSM,201910,3
855,DOM,201806,3
856,BFA,201806,1
857,MEA,201810,4
858,MHL,201903,1
859,SAF,201910,2
860,DMA,201504,1
861,TGO,201807,1
862,MHL,202003,2
863,HRV,202004,17
864,COM,202004,8
865,LBY,202005,117
866,EST,202005,10
867,LKA,201905,222
868,VNM,202006,120
869,TKM,202007,4
870,USA,201907,12606
871,CRB,202007,20
872,AZE,202006,17
873,SRB,202006,8
874,TON,202007,2
875,MMR,202008,100
876,TON,202008,1
877,JOR,202009,90
878,SGP,202009,115
879,SYC,202009,10
880,KOR,201909,173
881,SYR,201909,842
882,COK,202009,2
883,MHL,202009,8
884,ESP,202002,935
885,ITA,202002,1330
886,LKA,201709,171
887,DJI,201709,14
888,IRL,201711,3059
889,ITA,201711,860
890,SYR,201703,1400
891,MEX,201803,249
892,GRC,201803,290
893,AFR,201801,530
894,BHR,201801,49
895,KEN,201801,186
896,HND,201801,7
897,BLR,201709,80
898,LBY,201802,150
899,BRB,201802,19
900,DJI,201702,41
901,IDN,201711,132
902,AFR,201612,613
903,MUS,201612,44
904,UZB,201612,79
905,,201610,118959
906,SGP,201611,168
907,ARM,201610,37
908,PGS,201702,21
909,MYS,201602,235
910,SSD,201708,21
911,USA,201704,10805
912,FRA,201704,3125
913,SVK,201704,64
914,AFR,201710,605
915,AGO,201611,16
916,NER,201611,7
917,KEN,201706,158
918,SWE,201706,470
919,BRB,201706,23
920,FRA,201606,4903
921,BEL,201609,823
922,ERI,201608,10
923,MAR,201608,99
924,MCO,201712,100
925,MNG,201702,13
926,USA,201601,9188
927,TZA,201701,43
928,DNK,201601,216
929,IND,201509,430
930,SLE,201804,17
931,AUT,201804,111
932,SEA,201712,8
933,MAC,201802,1
934,BEN,201703,2
935,BTN,201608,26
936,HND,201707,7
937,TZA,201705,149
938,HRV,201707,67
939,CIV,201707,16
940,URY,201702,6
941,FIN,201601,72
942,DMA,201705,2
943,VNM,201605,148
944,SWE,201605,487
945,HUN,201607,114
946,IDN,201607,90
947,GAB,201611,3
948,SLE,201806,19
949,ZMB,201806,33
950,VAT,201512,28
951,MDA,201804,22
952,PHL,201510,149
953,GBR,201506,16105
954,IRN,201506,926
955,MAC,201712,2
956,SWE,201510,907
957,KAZ,201506,28
958,VUT,201709,1
959,IRL,201504,2070
960,CHE,201503,816
961,FRA,201504,2706
962,RWA,201503,41
963,SYR,201502,1650
964,DNK,201503,194
965,DEU,201502,725
966,JAM,201507,178
967,ERI,201504,23
968,SAU,201503,856
969,USA,201505,8756
970,KGZ,201601,78
971,MYS,201504,156
972,ARM,201604,125
973,NOR,201502,103
974,SOM,201601,161
975,MDG,201508,12
976,HND,201510,29
977,BDI,201602,49
978,CZE,201506,85
979,LUX,201504,75
980,LUX,201510,139
981,SSD,201604,65
982,UGA,201605,108
983,GUY,201501,4
984,CAF,201510,14
985,FIN,201503,85
986,PAN,201507,16
987,ALB,201509,21
988,SEN,201504,20
989,UZB,201504,40
990,TON,201508,5
991,KGZ,201507,8
992,TMP,201506,2
993,CHN,201807,1891
994,CHE,201807,274
995,PNG,201807,13
996,HRV,201907,93
997,KGZ,201504,13
998,ITA,201808,691
999,CUB,201901,79
1000,UGA,201901,95
1001,MLT,201901,94
1002,EGY,201810,398
1003,SLE,201810,61
1004,GHA,201906,160
1005,TZA,201908,63
1006,KNA,201904,152
1007,IRL,201903,4204
1008,SSD,201904,7
1009,PSE,201903,275
1010,MUS,201902,234
1011,PAN,201902,22
1012,NZL,201910,513
1013,GHA,201910,183
1014,PHL,201910,88
1015,BGR,201905,91
1016,JOR,201905,174
1017,STP,201905,10
1018,SLV,201807,13
1019,GUY,201809,13
1020,VAT,201809,17
1021,GTM,201809,31
1022,HND,201908,12
1023,SDN,201908,136
1024,SEA,202003,32
1025,MLT,201909,57
1026,GUY,202001,12
1027,CAN,201912,1962
1028,EST,201912,267
1029,ARM,201912,7
1030,TGO,201912,6
1031,BGR,201808,36
1032,LVA,201911,27
1033,PSE,202002,194
1034,MWI,202002,22
1035,LBY,202002,161
1036,GNB,201512,1
1037,MDA,202002,12
1038,PRY,202002,5
1039,CYM,201910,15
1040,LBY,201909,39
1041,MAC,201911,3
1042,ISR,202012,530
1043,URY,202010,14
1044,MOZ,202001,49
1045,TKM,201906,2
1046,DOM,201905,9
1047,ABW,201806,1
1048,MLI,201911,2
1049,PRK,202010,20
1050,MOZ,202010,4
1051,SMR,202010,4
1052,ARM,202004,5
1053,PRK,202004,45
1054,BWA,202003,28
1055,MOZ,202004,9
1056,SDN,202005,21
1057,GRC,202006,458
1058,ZMB,202006,21
1059,NGA,202007,365
1060,LBR,202006,39
1061,UZB,202006,11
1062,BWA,202006,4
1063,CRI,202006,12
1064,CAN,202008,955
1065,CRB,202008,13
1066,GUY,202008,24
1067,GHA,202002,173
1068,IND,202002,300
1069,MLI,201709,21
1070,IDN,201609,142
1071,KOR,201711,173
1072,ARM,201711,69
1073,USA,201803,11628
1074,LVA,201803,65
1075,MDA,201803,43
1076,ARM,201803,50
1077,MWI,201801,25
1078,BGR,201801,123
1079,ESP,201708,1867
1080,LBY,201805,552
1081,BGD,201805,209
1082,DEU,201611,2146
1083,MYS,201802,129
1084,SWE,201802,664
1085,IDN,201608,332
1086,AGO,201608,22
1087,ESP,201612,842
1088,SVK,201612,39
1089,DEU,201610,2046
1090,WST,201611,308
1091,GIN,201610,26
1092,BHR,201702,128
1093,UKR,201708,240
1094,WSM,201708,7
1095,TKM,201711,3
1096,GBR,201604,19879
1097,ISL,201604,159
1098,RUS,201604,1415
1099,KHM,201805,30
1100,BRB,201710,47
1101,BMU,201710,40
1102,BEN,201702,11
1103,QAT,201706,1208
1104,LUX,201706,94
1105,JOR,201706,205
1106,POL,201705,488
1107,CAN,201705,1890
1108,PGS,201706,23
1109,KEN,201510,223
1110,TTO,201802,40
1111,ITA,201609,900
1112,CHN,201705,1290
1113,MLT,201712,90
1114,KWT,201701,107
1115,SAU,201701,800
1116,SDN,201609,170
1117,WST,201609,144
1118,NGA,201509,396
1119,ARE,201804,222
1120,TUR,201804,499
1121,KNA,201804,222
1122,VEN,201804,49
1123,CPV,201801,1
1124,TTO,201609,33
1125,AGO,201704,23
1126,JOR,201705,246
1127,MUS,201705,36
1128,SSD,201705,107
1129,CYP,201707,153
1130,GRC,201707,396
1131,YEM,201707,175
1132,SAS,201707,12
1133,SCN,201611,4
1134,LBN,201602,492
1135,MDG,201707,7
1136,PRT,201605,270
1137,SEA,201704,37
1138,CIV,201803,2
1139,IDN,201511,192
1140,PGS,201805,8
