,Actor2CountryCode,MonthYear,Count
102,COD,201504,24
103,GMB,201506,11
104,AUT,201901,91
105,EUR,201812,1525
106,BDI,201812,10
107,HTI,201901,33
108,GRD,201511,10
109,KAZ,201504,66
110,TWN,201507,40
111,KIR,201511,4
112,GHA,201502,14
113,GAB,201808,29
114,NLD,201808,286
115,SWE,201808,91
116,NPL,201808,13
117,KWT,201601,18
118,THA,201811,44
119,SGP,201811,67
120,COM,201511,3
121,TTO,201601,8
122,EST,201504,7
123,MEA,201802,2
124,PAN,201603,10
125,TGO,201906,9
126,TJK,201508,6
127,LCA,201804,5
128,CAN,201806,2018
129,ETH,201904,67
130,PER,201909,24
131,HTI,201909,16
132,LBY,201810,213
133,ITA,201911,803
134,KEN,201502,9
135,COM,201509,2
136,ALB,201910,569
137,BLZ,201911,5
138,MYS,201911,83
139,MOZ,201807,2
140,BWA,201910,5
141,ETH,201910,18
142,MUS,201910,23
143,SLE,201902,1
144,SLB,201802,2
145,DJI,201802,2
146,VUT,201904,37
147,FRA,202011,4269
148,VCT,201806,1
149,WAF,201911,7
150,TTO,202002,2
151,THA,202012,30
152,PSE,202012,47
153,BEN,202003,18
154,WSM,201904,7
155,BHS,202002,3
156,LBN,202011,352
157,CRI,202011,2
158,LVA,202011,1
159,COK,201906,9
160,COK,201511,2
161,ZAF,201606,61
162,TWN,201606,27
163,SWZ,201605,1
164,CYM,201809,1
165,PRY,201902,2
166,LAO,201502,1
167,ATG,201505,1
168,CRI,201812,10
169,,201906,39236
170,MEX,202006,99
171,ARG,202004,69
172,GBR,202003,1842
173,URY,202004,29
174,ARG,202003,98
175,MRT,202003,6
176,ZAF,202003,67
177,ITA,202005,761
178,SAU,202005,40
179,LUX,202005,138
180,TCD,202005,3
181,AGO,202005,17
182,CAF,202007,14
183,DMA,202006,8
184,QAT,202008,37
185,KAZ,202008,3
186,GNB,202008,5
187,SYR,201908,335
188,MAR,202009,130
189,MLI,201702,247
190,TUR,201702,352
191,MCO,201702,68
192,,201701,52721
193,TCD,201702,56
194,KOR,201602,129
195,USA,201511,16862
196,DJI,201611,46
197,GIN,201611,46
198,SSD,201611,7
199,FIN,201610,61
200,SLV,201611,1
201,LVA,201707,46
202,ETH,201707,44
203,EUR,201704,2787
204,MCO,201704,172
205,EST,201703,148
206,MLI,201610,343
207,COD,201703,59
208,COD,201701,34
209,MEA,201611,13
210,FIN,201708,37
211,CAF,201708,78
212,DNK,201708,128
213,LBY,201706,298
214,GRC,201706,608
215,TTO,201706,5
216,KAZ,201510,44
217,ISR,201609,848
218,OMN,201606,33
219,GRD,201609,11
220,BEL,201612,760
221,ARE,201612,298
222,NZL,201612,81
223,AND,201612,9
224,GMB,201612,51
225,ZWE,201612,6
226,LBY,201511,472
227,TWN,201701,33
228,AIA,201701,10
229,AUS,201601,578
230,MKD,201705,50
231,NGA,201705,128
232,MDV,201512,86
233,GNQ,201701,109
234,MMR,201702,7
235,IRN,201709,1286
236,LAO,201703,1
237,TTO,201711,28
238,FSM,201711,2
239,NZL,201803,59
240,GRC,201805,252
241,GNQ,201802,44
242,TON,201711,4
243,CRI,201711,3
244,GTM,201805,14
245,BHR,201803,14
246,UGA,201712,4
247,AFR,201804,501
248,ARG,201511,172
249,CAN,201505,579
250,UKR,201604,689
251,TUR,201604,554
252,NGA,201508,149
253,AFR,201502,210
254,HUN,201509,340
255,SAU,201604,366
256,BGD,201604,85
257,IND,201504,313
258,MUS,201605,89
259,LBR,201603,6
260,ZAF,201605,56
261,DOM,201504,20
262,PAK,201605,134
263,MDV,201509,87
264,IDN,201506,224
265,PRK,201605,82
266,NLD,201907,258
267,TGO,201907,18
268,CRB,201510,5
269,IRQ,201806,386
270,PHL,201906,62
271,ALB,201602,12
272,BRA,201807,193
273,VEN,201807,19
274,TGO,201512,11
275,MMR,201512,10
276,UZB,201807,12
277,HND,201807,15
278,RWA,201512,49
279,AUS,201908,379
280,SYR,201812,1330
281,NZL,201808,64
282,HTI,201808,30
283,GNQ,201907,5
284,COG,201907,11
285,,201811,49409
286,WSM,201508,3
287,GNQ,201510,9
288,KIR,201602,5
289,BHR,201607,33
290,CHE,201809,384
291,PHL,201909,44
292,NIC,201502,4
293,BLR,201903,47
294,LBR,201903,8
295,HUN,201903,78
296,GAB,201502,12
297,FJI,201503,5
298,BLR,201904,100
299,MRT,201904,6
300,COM,201505,3
301,TUR,201806,321
302,AGO,201909,14
303,BRN,201909,5
304,BWA,201604,6
305,DMA,202001,2
306,FIN,202001,20
307,RUS,201912,2913
308,DNK,201912,91
309,SAU,201912,111
310,CRI,201911,5
311,KAZ,201507,22
312,VCT,201508,1
313,COG,201905,19
314,CYP,202001,109
315,TJK,201812,8
316,TGO,201901,5
317,MAC,201908,1
318,SAS,201910,5
319,MDG,201910,40
320,BRA,201902,119
321,LUX,201902,54
322,GRC,201902,137
323,KHM,201903,37
324,UGA,201910,20
325,BRB,201902,3
326,TZA,201812,3
327,PRK,201904,27
328,NER,202012,38
329,SYR,202012,218
330,HRV,201809,55
331,PRY,201806,3
332,MHL,201806,9
333,GRD,202002,2
334,ETH,202003,64
335,JAM,201910,11
336,ARM,202011,391
337,PRT,202011,52
338,EAF,201607,2
339,LBR,202011,36
340,UGA,201807,12
341,KHM,202001,5
342,MKD,201908,20
343,NRU,202012,3
344,EST,202012,6
345,AUT,201606,414
346,CYP,201606,95
347,ESP,202010,534
348,WAF,202010,2
349,TKM,201809,2
350,MNG,201901,3
351,TZA,201909,5
352,TCD,202006,113
353,MDV,202004,66
354,AFR,202003,276
355,WAF,202003,26
356,SYR,202003,228
357,AND,202005,31
358,ITA,201905,1745
359,ATG,202004,1
360,MUS,202007,51
361,TWN,202007,11
362,SDN,202008,96
363,BHR,202007,4
364,SLE,202007,1
365,PRK,202008,5
366,NZL,202009,53
367,SYR,201511,11783
368,HUN,201511,114
369,MLT,201611,28
370,DZA,201607,432
371,TKM,201707,2
372,LBN,201704,242
373,SRB,201610,39
374,QAT,201703,89
375,LKA,201703,23
376,CMR,201702,30
377,NMR,201702,13
378,AFR,201708,323
379,KEN,201703,38
380,UKR,201706,1084
381,GBR,201606,6225
382,PER,201609,115
383,VCT,201609,9
384,PAN,201612,39
385,VNM,201612,204
386,LTU,201612,31
387,GHA,201612,39
388,BHR,201707,10
389,LAO,201708,9
390,RWA,201701,66
391,MAR,201705,405
392,CUB,201601,430
393,SUR,201702,2
394,FIN,201603,42
395,TZA,201604,13
396,EST,201511,33
397,SRB,201605,39
398,EAF,201612,3
399,LBN,201709,522
400,ARG,201709,99
401,IRN,201604,1514
402,BRA,201801,185
403,VNM,201801,209
404,PHL,201712,189
405,KHM,201801,40
406,DMA,201712,27
407,DZA,201803,317
408,BGR,201802,55
409,CMR,201711,47
410,LUX,201803,205
411,BOL,201803,28
412,HUN,201805,92
413,CZE,201710,65
414,NMR,201712,10
415,SAU,201805,281
